SampleID	PCR_control	Extract_control	maleID	type_ID	type	rearing_container	mass	viability	HighORLow	viability_score	viability_rank	homogenised_block	F	R	total_reads	filtered	denoised	merged	non-chimeric	percentage_kept
C27SV.F10	FALSE	FALSE	27	SV	seminal_vesicle	D	0.5103	0.738	High	1	87	a	F10	R19	2574	1601	1562	1493	1493	58
C27T.F11	FALSE	FALSE	27	T	testes	D	0.5103	0.738	High	1	87	a	F11	R18	13404	9919	9778	9342	7920	59.09
C14.F15	FALSE	FALSE	14	S	spermatophore	C	0.6424	0.734	High	1	86	a	F15	R17	14556	9573	9485	9275	9275	63.72
C14AG.F14	FALSE	FALSE	14	AG	accessory_gland	C	0.6424	0.734	High	1	86	a	F14	R23	6988	5223	5195	4832	4711	67.42
C14D.F16	FALSE	FALSE	14	D	digestive_tract	C	0.6424	0.734	High	1	86	a	F16	R19	29342	22692	22658	22313	22313	76.04
C14SV.F16	FALSE	FALSE	14	SV	seminal_vesicle	C	0.6424	0.734	High	1	86	a	F16	R22	26828	19733	19698	19464	19464	72.55
C14T.F15	FALSE	FALSE	14	T	testes	C	0.6424	0.734	High	1	86	a	F15	R24	4056	2912	2901	2852	2852	70.32
C19.F09	FALSE	FALSE	19	S	spermatophore	C	0.735	0.732	High	1	84	c	F09	R18	8401	5333	5283	5046	5046	60.06
C19AG.F11	FALSE	FALSE	19	AG	accessory_gland	C	0.735	0.732	High	1	84	c	F11	R19	101	68	64	64	64	63.37
C19D.F12	FALSE	FALSE	19	D	digestive_tract	C	0.735	0.732	High	1	84	c	F12	R13	37	26	14	9	9	24.32
C19SV.F12	FALSE	FALSE	19	SV	seminal_vesicle	C	0.735	0.732	High	1	84	c	F12	R21	17259	11492	11456	11361	10564	61.21
C19T.F10	FALSE	FALSE	19	T	testes	C	0.735	0.732	High	1	84	c	F10	R20	3327	2311	2276	2264	2264	68.05
C96.F09	FALSE	FALSE	96	S	spermatophore	G	0.4771	0.73	High	1	83	c	F09	R24	6304	4122	4075	3999	3999	63.44
C96AG.F09	FALSE	FALSE	96	AG	accessory_gland	G	0.4771	0.73	High	1	83	c	F09	R22	8892	7151	7121	5584	4061	45.67
C96D.F12	FALSE	FALSE	96	D	digestive_tract	G	0.4771	0.73	High	1	83	c	F12	R18	29123	20654	20568	20123	20117	69.08
C96SV.F11	FALSE	FALSE	96	SV	seminal_vesicle	G	0.4771	0.73	High	1	83	c	F11	R16	17769	11572	11463	11132	10620	59.77
C96T.F12	FALSE	FALSE	96	T	testes	G	0.4771	0.73	High	1	83	c	F12	R15	19451	14712	14634	14318	10857	55.82
C1111.F09	FALSE	FALSE	111	S	spermatophore	H	0.7053	0.72	High	1	82	a	F09	R20	2402	1500	1493	1493	1493	62.16
C111AG.F10	FALSE	FALSE	111	AG	accessory_gland	H	0.7053	0.72	High	1	82	a	F10	R15	17642	14489	14428	14015	11420	64.73
C111D.F09	FALSE	FALSE	111	D	digestive_tract	H	0.7053	0.72	High	1	82	a	F09	R17	18268	12966	12919	12675	12587	68.9
C111SV.F15	FALSE	FALSE	111	SV	seminal_vesicle	H	0.7053	0.72	High	1	82	a	F15	R12	12557	8437	8365	7856	7661	61.01
C111T.F15	FALSE	FALSE	111	T	testes	H	0.7053	0.72	High	1	82	a	F15	R08	23252	19090	19031	18979	18979	81.62
C72.F10	FALSE	FALSE	72	S	spermatophore	G	0.6131	0.472	Low	2	15	a	F10	R14	10938	6817	6710	6461	6461	59.07
C72AG.F11	FALSE	FALSE	72	AG	accessory_gland	G	0.6131	0.472	Low	2	15	a	F11	R20	14165	10296	10212	9643	7245	51.15
C72D.F09	FALSE	FALSE	72	D	digestive_tract	G	0.6131	0.472	Low	2	15	a	F09	R13	17087	12626	12603	12389	12267	71.79
C72SV.F12	FALSE	FALSE	72	SV	seminal_vesicle	G	0.6131	0.472	Low	2	15	a	F12	R20	19731	14939	14888	14553	12151	61.58
C72T.F10	FALSE	FALSE	72	T	testes	G	0.6131	0.472	Low	2	15	a	F10	R23	11558	8581	8493	7938	7938	68.68
C49.F16	FALSE	FALSE	49	S	spermatophore	E	0.7158	0.47	Low	2	13	a	F16	R13	7203	4573	4551	4357	4333	60.16
C49AG.F16	FALSE	FALSE	49	AG	accessory_gland	E	0.7158	0.47	Low	2	13	a	F16	R16	18020	14624	14514	12943	8514	47.25
C49D.F16	FALSE	FALSE	49	D	digestive_tract	E	0.7158	0.47	Low	2	13	a	F16	R14	46064	31624	31542	30707	30689	66.62
C49SV.F16	FALSE	FALSE	49	SV	seminal_vesicle	E	0.7158	0.47	Low	2	13	a	F16	R15	7412	5249	5160	4896	4405	59.43
C49T.F14	FALSE	FALSE	49	T	testes	E	0.7158	0.47	Low	2	13	a	F14	R18	7137	5150	5098	5051	4739	66.4
C92AG.F14	FALSE	FALSE	92	AG	accessory_gland	H	0.5957	0.47	Low	2	14	c	F14	R15	15841	11778	11702	11002	7305	46.11
C92D.F11	FALSE	FALSE	92	D	digestive_tract	H	0.5957	0.47	Low	2	14	c	F11	R24	24279	16957	16920	16601	16150	66.52
C92SV.F11	FALSE	FALSE	92	SV	seminal_vesicle	H	0.5957	0.47	Low	2	14	c	F11	R17	7206	4914	4802	4719	4413	61.24
C92T.F10	FALSE	FALSE	92	T	testes	H	0.5957	0.47	Low	2	14	c	F10	R16	6272	4762	4702	4495	3541	56.46
C86.F17	FALSE	FALSE	86	S	spermatophore	G	0.6613	0.464	Low	2	12	c	F17	R21	43	39	29	29	29	67.44
C86AG.F17	FALSE	FALSE	86	AG	accessory_gland	G	0.6613	0.464	Low	2	12	c	F17	R22	18318	13811	13741	10825	8756	47.8
C86D.F17	FALSE	FALSE	86	D	digestive_tract	G	0.6613	0.464	Low	2	12	c	F17	R15	28635	20026	19944	19624	19528	68.2
C86SV.F17	FALSE	FALSE	86	SV	seminal_vesicle	G	0.6613	0.464	Low	2	12	c	F17	R23	8029	5498	5449	5370	5370	66.88
C86T.F17	FALSE	FALSE	86	T	testes	G	0.6613	0.464	Low	2	12	c	F17	R18	4852	3713	3649	3475	2843	58.59
C128.F17	FALSE	FALSE	128	S	spermatophore	I	0.7148	0.46	Low	2	11	c	F17	R20	23	19	13	13	13	56.52
C128AG.F17	FALSE	FALSE	128	AG	accessory_gland	I	0.7148	0.46	Low	2	11	c	F17	R17	21100	16558	16427	14169	11948	56.63
C128SV.F17	FALSE	FALSE	128	SV	seminal_vesicle	I	0.7148	0.46	Low	2	11	c	F17	R13	28	24	12	12	12	42.86
C128T.F17	FALSE	FALSE	128	T	testes	I	0.7148	0.46	Low	2	11	c	F17	R14	6331	5153	5129	4695	4336	68.49
C45.F13	FALSE	FALSE	45	S	spermatophore	E	0.6926	0.418	Low	2	10	a	F13	R24	5963	3859	3742	3448	3448	57.82
C45AG.F14	FALSE	FALSE	45	AG	accessory_gland	E	0.6926	0.418	Low	2	10	a	F14	R21	29723	24350	24320	23755	21270	71.56
C45D.F16	FALSE	FALSE	45	D	digestive_tract	E	0.6926	0.418	Low	2	10	a	F16	R21	32985	23214	23173	22573	22549	68.36
C45SV.F15	FALSE	FALSE	45	SV	seminal_vesicle	E	0.6926	0.418	Low	2	10	a	F15	R19	6165	4360	4337	4207	4027	65.32
C45T.F13	FALSE	FALSE	45	T	testes	E	0.6926	0.418	Low	2	10	a	F13	R14	5399	4079	4027	3398	2937	54.4
C85.F16	FALSE	FALSE	85	S	spermatophore	F	0.6924	0.414	Low	2	9	a	F16	R20	11206	6872	6853	6750	6750	60.24
C85AG.F14	FALSE	FALSE	85	AG	accessory_gland	F	0.6924	0.414	Low	2	9	a	F14	R20	18294	14147	14085	12973	8311	45.43
C85D.F13	FALSE	FALSE	85	D	digestive_tract	F	0.6924	0.414	Low	2	9	a	F13	R17	33181	22246	22152	21707	21662	65.28
C85SV.F16	FALSE	FALSE	85	SV	seminal_vesicle	F	0.6924	0.414	Low	2	9	a	F16	R23	21358	13444	13434	13351	13351	62.51
C85T.F14	FALSE	FALSE	85	T	testes	F	0.6924	0.414	Low	2	9	a	F14	R13	25085	19763	19703	18390	11743	46.81
C73.F14	FALSE	FALSE	73	S	spermatophore	G	0.6494	0.402	Low	2	7	a	F14	R17	10087	6431	6396	6075	6033	59.81
C73AG.F14	FALSE	FALSE	73	AG	accessory_gland	G	0.6494	0.402	Low	2	7	a	F14	R24	3110	2187	2110	1927	1796	57.75
C73D.F15	FALSE	FALSE	73	D	digestive_tract	G	0.6494	0.402	Low	2	7	a	F15	R15	31635	21702	21641	21229	21229	67.11
C73SV.F13	FALSE	FALSE	73	SV	seminal_vesicle	G	0.6494	0.402	Low	2	7	a	F13	R15	1620	1028	1015	969	969	59.81
C73T.F16	FALSE	FALSE	73	T	testes	G	0.6494	0.402	Low	2	7	a	F16	R18	22199	15004	14882	14533	14121	63.61
C81AG.F16	FALSE	FALSE	81	AG	accessory_gland	F	0.6531	0.402	Low	2	8	b	F16	R06	20199	15406	15194	13113	11456	56.72
C81D.F13	FALSE	FALSE	81	D	digestive_tract	F	0.6531	0.402	Low	2	8	b	F13	R11	14546	9727	9677	9535	9535	65.55
C81SV.F16	FALSE	FALSE	81	SV	seminal_vesicle	F	0.6531	0.402	Low	2	8	b	F16	R10	5956	4220	4184	4038	4038	67.8
C81T.F15	FALSE	FALSE	81	T	testes	F	0.6531	0.402	Low	2	8	b	F15	R06	26503	18410	18315	17965	17819	67.23
C79AG.F16	FALSE	FALSE	79	AG	accessory_gland	G	0.551	0.4	Low	2	6	b	F16	R03	28117	23036	22892	22543	22350	79.49
C79D.F13	FALSE	FALSE	79	D	digestive_tract	G	0.551	0.4	Low	2	6	b	F13	R02	13196	8518	8490	8341	8341	63.21
C79SV.F15	FALSE	FALSE	79	SV	seminal_vesicle	G	0.551	0.4	Low	2	6	b	F15	R04	12633	9181	9102	8917	8804	69.69
C79T.F16	FALSE	FALSE	79	T	testes	G	0.551	0.4	Low	2	6	b	F16	R05	19952	15273	15147	14435	13032	65.32
C82.F14	FALSE	FALSE	82	S	spermatophore	F	0.6542	0.388	Low	2	5	a	F14	R02	21509	14276	14140	13748	13748	63.92
C82AG.F13	FALSE	FALSE	82	AG	accessory_gland	F	0.6542	0.388	Low	2	5	a	F13	R06	154	77	68	65	65	42.21
C82D.F15	FALSE	FALSE	82	D	digestive_tract	F	0.6542	0.388	Low	2	5	a	F15	R09	29956	20974	20929	20473	20473	68.34
C82SV.F12	FALSE	FALSE	82	SV	seminal_vesicle	F	0.6542	0.388	Low	2	5	a	F12	R11	22428	14106	14010	13727	13546	60.4
C82T.F14	FALSE	FALSE	82	T	testes	F	0.6542	0.388	Low	2	5	a	F14	R03	21339	14967	14857	14589	14416	67.56
C75.F15	FALSE	FALSE	75	S	spermatophore	F	0.59	0.37	Low	2	4	a	F15	R23	13267	8185	8098	7844	7844	59.12
C75AG.F13	FALSE	FALSE	75	AG	accessory_gland	F	0.59	0.37	Low	2	4	a	F13	R16	1640	1209	1193	1103	1103	67.26
C75D.F15	FALSE	FALSE	75	D	digestive_tract	F	0.59	0.37	Low	2	4	a	F15	R21	34493	24387	24329	23830	23765	68.9
C75SV.F13	FALSE	FALSE	75	SV	seminal_vesicle	F	0.59	0.37	Low	2	4	a	F13	R20	1634	956	940	937	877	53.67
C75T.F13	FALSE	FALSE	75	T	testes	F	0.59	0.37	Low	2	4	a	F13	R13	14219	11319	11246	10209	5759	40.5
C42.F13	FALSE	FALSE	42	S	spermatophore	D	0.6718	0.348	Low	2	3	a	F13	R04	8572	5967	5853	5419	5242	61.15
C42AG.F13	FALSE	FALSE	42	AG	accessory_gland	D	0.6718	0.348	Low	2	3	a	F13	R08	13062	9801	9637	8997	8733	66.86
C42D.F16	FALSE	FALSE	42	D	digestive_tract	D	0.6718	0.348	Low	2	3	a	F16	R07	26484	18094	18049	17704	17704	66.85
C42SV.F15	FALSE	FALSE	42	SV	seminal_vesicle	D	0.6718	0.348	Low	2	3	a	F15	R10	3708	2102	1989	1859	1859	50.13
C42T.F14	FALSE	FALSE	42	T	testes	D	0.6718	0.348	Low	2	3	a	F14	R04	20500	14352	14206	13852	13699	66.82
C83.F13	FALSE	FALSE	83	S	spermatophore	F	0.6205	0.338	Low	2	2	b	F13	R03	10419	5609	5424	5042	5042	48.39
C83AG.F13	FALSE	FALSE	83	AG	accessory_gland	F	0.6205	0.338	Low	2	2	b	F13	R07	5020	3329	3206	2991	2232	44.46
C83D.F14	FALSE	FALSE	83	D	digestive_tract	F	0.6205	0.338	Low	2	2	b	F14	R10	17434	11880	11810	11524	11524	66.1
C83SV.F13	FALSE	FALSE	83	SV	seminal_vesicle	F	0.6205	0.338	Low	2	2	b	F13	R10	2199	1307	1254	1157	1157	52.61
C83T.F14	FALSE	FALSE	83	T	testes	F	0.6205	0.338	Low	2	2	b	F14	R08	19337	12824	12755	12531	12531	64.8
C40.F13	FALSE	FALSE	40	S	spermatophore	D	0.7679	0.336	Low	2	1	a	F13	R22	8287	5184	5149	5000	5000	60.34
C40AG.F12	FALSE	FALSE	40	AG	accessory_gland	D	0.7679	0.336	Low	2	1	a	F12	R24	13621	10957	10889	9850	6174	45.33
C40D.F15	FALSE	FALSE	40	D	digestive_tract	D	0.7679	0.336	Low	2	1	a	F15	R16	28562	20498	20438	20065	20065	70.25
C40SV.F14	FALSE	FALSE	40	SV	seminal_vesicle	D	0.7679	0.336	Low	2	1	a	F14	R16	5905	4157	4138	3975	3653	61.86
C40T.F15	FALSE	FALSE	40	T	testes	D	0.7679	0.336	Low	2	1	a	F15	R14	13653	9660	9597	8843	8305	60.83
BLANK1.F15	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F15	R11	1444	950	948	916	916	63.43
BLANK2.F16	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F16	R09	418	290	268	268	268	64.11
BLANK3.F12	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F12	R14	676	418	408	401	401	59.32
BLANK4.F12	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F12	R23	868	480	472	471	471	54.26
BLANK5.F13	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F13	R21	1667	1091	1075	1074	1074	64.43
BLANK6.F14	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F14	R19	525	352	351	351	351	66.86
BLANK7.F17	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F17	R24	747	482	478	470	470	62.92
NTPCR1.F16	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F16	R12	233	165	162	160	160	68.67
NTPCR2.F16	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F16	R24	94	60	50	50	50	53.19
NTPCR3.F18	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F18	R13	3082	2016	2011	2009	2009	65.18
ZymoMC.F18	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F18	R14	31859	20698	20615	20062	18583	58.33
